frame.number,frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.id,dns.flags.response,dns.flags.opcode,dns.qry.name,dns.qry.type,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
"730","0.042555000","192.168.81.2","192.168.81.139","53","54204","106","0x0000ddc2","1","0","2bb0a7b2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"811","4.996480000","192.168.81.139","192.168.81.2","63460","53","90","0x00004bbb","0","0","2bb0a7b2.ns1.ssltestdomain.xyz","1",,,,
"812","0.037647000","192.168.81.2","192.168.81.139","53","63460","106","0x00004bbb","1","0","2bb0a7b2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"937","5.016296000","192.168.81.139","192.168.81.2","56527","53","90","0x00009f2f","0","0","2bb0a7b2.ns2.ssltestdomain.xyz","1",,,,
"938","0.018069000","192.168.81.2","192.168.81.139","53","56527","106","0x00009f2f","1","0","2bb0a7b2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"1009","5.007600000","192.168.81.139","192.168.81.2","51588","53","90","0x000051eb","0","0","2bb0a7b2.ns1.ssltestdomain.xyz","1",,,,
"1011","0.020273000","192.168.81.2","192.168.81.139","53","51588","106","0x000051eb","1","0","2bb0a7b2.ns1.ssltestdomain.xyz","1","74.125.196.131",,,"0"
"1012","0.001355000","192.168.81.139","192.168.81.2","54903","53","104","0x000008d4","0","0","api.02ede1c04.2bb0a7b2.ns1.ssltestdomain.xyz","1",,,,
"1015","0.460636000","192.168.81.2","192.168.81.139","53","54903","120","0x000008d4","1","0","api.02ede1c04.2bb0a7b2.ns1.ssltestdomain.xyz","1","74.125.196.49",,,"0"
"1016","0.001075000","192.168.81.139","192.168.81.2","64982","53","104","0x00002112","0","0","api.12ede1c04.2bb0a7b2.ns1.ssltestdomain.xyz","16",,,,
"1027","1.026243000","192.168.81.139","192.168.81.2","64982","53","104","0x00002112","0","0","api.12ede1c04.2bb0a7b2.ns1.ssltestdomain.xyz","16",,,,
"1029","0.040577000","192.168.81.2","192.168.81.139","53","64982","205","0x00002112","1","0","api.12ede1c04.2bb0a7b2.ns1.ssltestdomain.xyz","16",,"s442FT1Rs/1o6mfju3eI36N1AlYfA4zToKvvV6eRTsAW9+tCdpH9dXs8CbV6bSvnO2fws/pI53HYHl/duyXpPw==","88","0"
