frame.number,frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.id,dns.flags.response,dns.flags.opcode,dns.qry.name,dns.qry.type,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
"106","0.055193000","192.168.183.2","192.168.183.133","53","63179","370","0x0000e4a8","1","0","api.2e6d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"mqJPyHbNMa9bq0+nvBHFkJis717/3E47dQMKmKfK+bYe4ycsS8RpL8JFcNXwsAsXxaROz3uiHgXjwvEf5+xA5ikmzOOQ8cTQvCTn+mEx1mWd9Y9wAvwAUey204l7k0wi1K/n9M9yj0EJyor4MErsBAfs4/Pf6mc3eYGbWBvkBK8krWlzI5Bro4eWtIJ3uXb5iYT9++7HmMyyPbhBfihfbaR4Ou93PRpsTlm5hDCgrh/X/bK4D0Gp02+Yqo1k","252","0"
"107","0.000990000","192.168.183.133","192.168.183.2","57103","53","105","0x000063a3","0","0","api.2f6d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
"108","0.052286000","192.168.183.2","192.168.183.133","53","57103","370","0x000063a3","1","0","api.2f6d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"NulAFWxgAp+o/nWS6aWK2MBVO+D7p6Rx0o24YR0EUEq1/PF+bve5/m/CcZTZU4i+gT6lWGW7lCgjKpbkwOfru31ijFLuIUNFXJE5neuzVHcAeUXgWQuMr+lMhAeFV8ePQLXbq7/PfKURXYj3NBAY4oxlFpORG6w5YRVvEtblgZIuMNY03iviAlOPeqkr/WDWxmnpbAjWAAIU5BBW1+aJ2KKM3ppCbdM8Zx2x1yUOCCr/mFDiU/CEax37mv9H","252","0"
"109","0.000974000","192.168.183.133","192.168.183.2","63621","53","105","0x0000622c","0","0","api.306d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
"110","0.056575000","192.168.183.2","192.168.183.133","53","63621","370","0x0000622c","1","0","api.306d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"9BESvYpfn56AyC23T9OAuZZLirqPhvtXv0NiHJWuldUUE9c7XqqNuYt6RjfTx1yLwQCxzHTqJDwR5DMyMvTiSRU2Kd5vs/Q1c+ncuFBkEyLnOg4tFMHbrp9jWxCkyD2s1w4PGUOtj+0Ohb0UWzwAZSWmiLqBqML520eLZuTaBfc/wnVNRiZICDPjvv9k26DkbSCgsyAbGC36a4unMMlDzzUQEKq1W2OhLk6SO3Qa0y1kJMlQYBldbNZVMcuB","252","0"
"111","0.001083000","192.168.183.133","192.168.183.2","51658","53","105","0x00001898","0","0","api.316d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
"112","0.049849000","192.168.183.2","192.168.183.133","53","51658","370","0x00001898","1","0","api.316d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"ZSEQK/qQn5ixbLad8xMIr94ebmL32e8n20BjrkziOFYQl+0sDmMdtB53lyHEi3fkkqnc5f9yRdXN33RirPCkgDOCT/SXxtEvJVMXfEigTg6J0vjAHnaFY/WBh+Ya07YHjwKSbr8KdpTUk2B4moZstrEQz5L2UtSNbE/Wd8nzW1fldhSLRRi5O5XRvlsu3ze83o02nNuqBuz9b+MRHnpNGNMjTOUvXX1wmGVLaZb4gqXSAAdOzJ0LaSENnAYQ","252","0"
"113","0.000912000","192.168.183.133","192.168.183.2","55632","53","105","0x00001712","0","0","api.326d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
"114","0.226462000","192.168.183.2","192.168.183.133","53","55632","370","0x00001712","1","0","api.326d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"hwL6kNzzvGXGJmFoWWKdB/IOFupIomkzUFtPWX6pgOOgo7Xjg/iMfCFAVJwTAD08uvL+CmgA17G3G3Cx8mGhAs1KS+sAmwNSsrjjnhkLLBR1gd6oZuowNJVRuS7Us9Na9ftZ00Y4au/ChJcYBl4PgThr+p8whTddhpI8GdnzAcjWmXQjz+S3ANXXPRtJntiuF1iT6+tL9mb6lFABTWybylZ/XjtS9hymFQ364LC5Qja+kG90nIKi0ty2X5DF","252","0"
"115","0.001489000","192.168.183.133","192.168.183.2","57733","53","105","0x0000c659","0","0","api.336d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
