frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.flags.opcode,dns.qry.name,dns.qry.type,response.frame.len,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
5.008534,192.168.81.139,192.168.81.2,58849,53,90,0,2bb0a7b2.ns2.ssltestdomain.xyz,A,106,74.125.196.131,,,0.0
0.000733,192.168.81.139,192.168.81.2,55923,53,104,0,api.063004d93.2bb0a7b2.ns2.ssltestdomain.xyz,A,120,74.125.196.65,,,0.0
0.000733,192.168.81.139,192.168.81.2,55923,53,104,0,api.063004d93.2bb0a7b2.ns2.ssltestdomain.xyz,A,120,74.125.196.65,,,0.0
1.005625,192.168.81.139,192.168.81.2,55923,53,104,0,api.063004d93.2bb0a7b2.ns2.ssltestdomain.xyz,A,120,74.125.196.65,,,0.0
1.005625,192.168.81.139,192.168.81.2,55923,53,104,0,api.063004d93.2bb0a7b2.ns2.ssltestdomain.xyz,A,120,74.125.196.65,,,0.0
0.001565,192.168.81.139,192.168.81.2,54552,53,104,0,api.163004d93.2bb0a7b2.ns2.ssltestdomain.xyz,TXT,181,,XoX13T6v81D0WrFOry81CECDCUlITZX2ILGnUCMOvEJEafZUHQyKr3CQw28ez+QH,64.0,0.0
0.001565,192.168.81.139,192.168.81.2,54552,53,104,0,api.163004d93.2bb0a7b2.ns2.ssltestdomain.xyz,TXT,181,,XoX13T6v81D0WrFOry81CECDCUlITZX2ILGnUCMOvEJEafZUHQyKr3CQw28ez+QH,64.0,0.0
1.02249,192.168.81.139,192.168.81.2,54552,53,104,0,api.163004d93.2bb0a7b2.ns2.ssltestdomain.xyz,TXT,181,,XoX13T6v81D0WrFOry81CECDCUlITZX2ILGnUCMOvEJEafZUHQyKr3CQw28ez+QH,64.0,0.0
1.02249,192.168.81.139,192.168.81.2,54552,53,104,0,api.163004d93.2bb0a7b2.ns2.ssltestdomain.xyz,TXT,181,,XoX13T6v81D0WrFOry81CECDCUlITZX2ILGnUCMOvEJEafZUHQyKr3CQw28ez+QH,64.0,0.0
9.048118,192.168.81.139,192.168.81.2,52732,53,90,0,2bb0a7b2.ns1.ssltestdomain.xyz,A,106,74.125.196.131,,,0.0
0.001011,192.168.81.139,192.168.81.2,59406,53,104,0,api.065fa3116.2bb0a7b2.ns1.ssltestdomain.xyz,A,120,0.0.0.0,,,0.0
10.009205,192.168.81.139,192.168.81.2,60549,53,90,0,2bb0a7b2.ns2.ssltestdomain.xyz,A,106,74.125.196.131,,,0.0
0.001691,192.168.81.139,192.168.81.2,62634,53,104,0,api.07cbb150b.2bb0a7b2.ns2.ssltestdomain.xyz,A,120,74.125.196.65,,,0.0
0.001691,192.168.81.139,192.168.81.2,62634,53,104,0,api.07cbb150b.2bb0a7b2.ns2.ssltestdomain.xyz,A,120,74.125.196.65,,,0.0
1.019572,192.168.81.139,192.168.81.2,62634,53,104,0,api.07cbb150b.2bb0a7b2.ns2.ssltestdomain.xyz,A,120,74.125.196.65,,,0.0
1.019572,192.168.81.139,192.168.81.2,62634,53,104,0,api.07cbb150b.2bb0a7b2.ns2.ssltestdomain.xyz,A,120,74.125.196.65,,,0.0
0.001091,192.168.81.139,192.168.81.2,62158,53,104,0,api.17cbb150b.2bb0a7b2.ns2.ssltestdomain.xyz,TXT,181,,Td4azGQp+8oBpbktY9N2ZvLLMT9EI404JvZTy0k7yvvTSmzYBCO6E1g6UqvlR15G,64.0,0.0
5.021329,192.168.81.139,192.168.81.2,52665,53,90,0,2bb0a7b2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.009635,192.168.81.139,192.168.81.2,62077,53,90,0,2bb0a7b2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.020319,192.168.81.139,192.168.81.2,54421,53,90,0,2bb0a7b2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.00234,192.168.81.139,192.168.81.2,52488,53,90,0,2bb0a7b2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
